,K,Score
0,1,21204032.01375373
1,2,11311824.703948291
2,3,6705769.203788903
3,4,5472300.03761248
4,5,4689260.975124469
5,6,4217839.086795514
6,7,3789510.8200234217
7,8,3420131.923622
8,9,3087390.0133429985
