,attributes,squared_loadings
7,trees90,0.5027597513259743
10,Xmax,0.4992934647632915
9,Xmin,0.4973918046529753
12,Ymax,0.49030052772679283
11,Ymin,0.4740355782687836
6,trees,0.44937751303816503
0,humid,0.16517387342771367
2,temp,0.16113663895429375
1,humid90,0.16071239213085145
3,temp90,0.15962077598253138
8,NoYes,0.1559493027958787
4,h10pix,0.14292959680193537
5,h10pix90,0.1413187801308125
