,eigen_values,PCA_components
0,6.789831379359267,1
1,2.060798278907543,2
2,1.9474880857113128,3
3,1.1040339930761864,4
4,0.4793552577035937,5
5,0.26257012260476287,6
6,0.17856507387700943,7
7,0.1458256310579501,8
8,0.020200665413912855,9
9,0.0068812962261648415,10
10,0.002399665728550318,11
11,0.0018388456084783879,12
12,0.0002117047252743871,13
